cigar	雪茄
holks	女孩们
holla	你好
hollo	你好
holme	全部的
holms	福尔摩斯
holon	霍隆
holos	霍洛斯
holts	霍尔茨
homas	人类的
homed	回家
homes	家园
homey	家常的
homie	老乡
homme	男人
homos	人类
honan	河南
honda	本田
honds	狗
honed	磨练
honer	珩磨
hones	磨砺
hongi	商行
hongs	洪斯
honks	喇叭声
honky	白痴
hooch	呼
hoods	兜帽
hoody	帽衫
hooey	万岁
hoofs	蹄子
hooka	钩子
hooks	钩子
hooky	逃学
hooly	万岁
hoons	霍恩斯
hoops	篮圈
hoord	听到
hoors	号角
hoosh	呼
hoots	嘘声
hooty	胡闹
hoove	蹄子
hopak	跳
hoped	希望
hoper	霍珀
hopes	希望
hoppy	快乐
horah	霍拉
horal	小时
horas	小时
horis	霍利斯
horks	霍克斯
horme	霍姆
horns	角
horst	地垒
horsy	山
hosed	冲洗
hosel	霍塞尔
hosen	霍森
hoser	霍瑟
hoses	软管
hosey	霍西
hosta	咳嗽
hosts	主人
hotch	霍奇
hoten	霍廷
hotty	性感的
houff	小时数
houfs	猎犬
hough	霍夫
houri	胡里
hours	小时
houts	霍茨
hovea	牛肉
hoved	头
hoven	蹄子
hoves	霍夫斯
howbe	你好
howes	豪斯
howff	哈夫
howfs	你好
howks	豪克斯
howls	嚎叫
howre	你好
howso	怎么样
hoxed	胡闹
hoxes	今天
hoyas	霍亚斯
hoyed	霍耶德
hoyle	霍伊尔
hubby	老公
hucks	哈克斯
hudna	严峻的
hudud	胡都
huers	昨天
huffs	怒火
huffy	气喘吁吁的
huger	雨果
huggy	巨大的
huhus	预感
huias	惠亚斯
hulas	草裙舞
hules	胡尔斯
hulks	绿巨人
hulky	绿巨人
hullo	喂
hulls	外壳
hully	赫利
humas	人类
humfs	哼
humic	腐殖质的
humps	驼峰
humpy	驼背的
hunks	大块头
hunts	狩猎
hurds	赫兹
hurls	投掷
hurly	喧闹
hurra	万岁
hurst	赫斯特
hurts	伤害
hushy	安静的
husks	外壳
husos	胡索斯
hutia	胡蒂亚
huzza	胡扎
huzzy	哈奇
hwyls	乐趣
hydra	海德拉
hyens	海恩斯
hygge	海格
hying	海因
hykes	海克斯
hylas	海拉斯
hyleg	希腊人
hyles	嚎叫
hylic	海利克
hymns	赞美诗
hynde	_其他组织者
hyoid	舌骨
hyped	炒作
hypes	炒作
hypha	菌丝
hyphy	连字符。
hypos	海波斯
hyrax	海拉克斯
hyson	希森
hythe	海斯
iambi	亚姆比
iambs	短长
ibrik	混合的
icers	冰柜
iched	伊希德
iches	脑出血
ichor	伊科尔
icier	冰人
icker	讨厌的
ickle	易怒的
icons	图标
ictal	发作期
ictic	前南问题国际法庭
ictus	前庭
idant	伊丹特
ideas	思想
idees	艾迪斯
ident	识别号
idled	无所事事
idles	无所事事
idola	伊多拉
idols	偶像
idyls	田园诗
iftar	开斋节
igapo	伊加波
igged	伊格德
iglus	冰屋
ihram	伊赫拉姆
ikans	伊坎
ikats	伊卡茨
ikons	图标
ileac	伊莱克
ileal	回肠
ileum	回肠
ileus	肠梗阻
iliad	语言
ilial	髂骨的
ilium	髂骨
iller	雪貂
illth	倍数
imago	意象
imams	伊玛目
imari	伊玛里
imaum	伊玛姆
imbar	树
imbed	嵌入
imide	酰亚胺
imido	%1分钟
imine	亚胺
imino	分钟
immew	IMMEW
immit	伊米特
immix	伊米克斯
imped	妨碍
impis	自由的
impot	进口
impro	即兴表演
imshi	阴影
imshy	伊姆希
inapt	笨拙的
inarm	臂
inbye	英拜
incel	因塞尔
incle	包括
incog	收入
incus	砧骨
incut	砧木
indew	英德
india	印度
indie	独立音乐
indol	吲哚
indow	窗户
indri	_内容
indue	印度河
inerm	伊纳姆
infix	中缀
infos	新闻
infra	红外线
ingan	英根
ingle	英语
inion	伊尼翁
inked	墨水
inker	墨水瓶
inkle	印克尔
inned	Inned
innit	因尼特
inrun	英伦
inset	插图
inspo	英斯波
intel	情报
intil	英蒂尔
intis	单元
intra	内部
inula	菊粉
inure	使习惯于
inurn	因努恩
inust	因努斯特
invar	因瓦
inwit	英维特
iodic	碘的
iodid	碘伏
iodin	碘
ippon	伊彭
irade	愤怒的
irids	艾里斯
iring	Iring
irked	恼火的
iroko	伊罗科
irone	艾恩
irons	熨斗
isbas	低的
ishes	伊什
isled	孤岛
isles	小岛
isnae	伊斯奈
issei	伊塞
istle	明星
items	项目
ither	其他
ivied	我看
ivies	常春藤
ixias	智利
ixnay	没有人
ixora	时间
izard	伊扎德
izars	皮米
izzat	汗流浃背
jaaps	日本人
jabot	贾博特
jacal	贾卡尔
jacks	千斤顶
jacky	杰基
jaded	厌倦的
jades	玉器
jafas	同等的
jaffa	贾法
jagas	第一节
jager	亨特
jaggs	贾格斯
jaggy	锯齿状
jagir	贾格尔
jagra	年
jails	监狱
jaker	杰克
jakes	杰克
jakey	杰克
jalap	路径
jalop	贾洛普
jambe	腿
jambo	Jambo公司
jambs	侧壁
jambu	贾布
james	詹姆斯
jammy	果酱
jamon	火腿
janes	珍妮斯
janns	詹斯
janny	詹尼
janty	琥珀色
japan	日本
japed	日本佬
japer	贾珀
japes	日本佬
jarks	罐
jarls	贾尔斯
jarps	罐子
jarta	心
jarul	罐
jasey	家
jaspe	贾斯珀
jasps	日本网印资机材协会
jatos	杰托斯
jauks	美好的
jaups	黄疸
javas	爪哇
javel	好吧。
jawan	回答
jawed	下巴
jaxie	贾西亚
jeans	牛仔裤
jeats	杰茨
jebel	杰贝尔
jedis	绝地武士
jeels	水母
jeely	天哪
jeeps	吉普车
jeers	嘲笑
jeeze	天哪
jefes	老板
jeffs	杰夫斯
jehad	杰哈德
jehus	房子
jelab	杰拉布
jello	果冻
jells	果冻
jembe	珍贝
jemmy	杰米
jenny	珍妮
jeons	全斯
jerid	杰里德
jerks	混蛋
jerry	杰瑞
jesse	杰西
jests	开玩笑
jesus	上帝啊
jetes	喷气式飞机
jeton	杰顿
jeune	年轻人
jewed	犹太人
jewie	杰维
jhala	贾拉
jiaos	焦
jibba	吉巴
jibbs	bbs！
jibed	嘲笑
jiber	吉伯
jibes	嘲笑
jiffs	摇摆
jiggy	跳汰机
jigot	吉戈特
jihad	圣战
jills	吉尔
jilts	杰尔斯
jimmy	吉米
jimpy	吉米
jingo	金戈
jinks	怪胎
jinne	其他
jinni	金妮
jinns	金
jirds	吉尔兹
jirga	支尔格
jirre	rre
jisms	酒
jived	摇摆
jiver	吉弗
jives	摇摆
jivey	吉维
jnana	一月
jobed	工作
jobes	乔布斯
jocko	乔科
jocks	运动员
jocky	慢跑的
jocos	乔科斯
jodel	乔德尔
joeys	乔伊
johns	约翰
joins	加入
joked	开玩笑
jokes	笑话
jokey	开玩笑
jokol	尤科尔
joled	已折叠
joles	乔尔斯
jolls	颠簸
jolts	震动
jolty	乔蒂
jomon	乔蒙
jomos	名称
jones	琼斯
jongs	年轻的
jonty	琼蒂
jooks	运行
joram	乔丹
jorum	乔勒姆
jotas	霍塔舞
jotty	我没有
jotun	分钟
joual	焦耳
jougs	慢跑
jouks	乔克斯
joule	焦耳
jours	天
jowar	乔瓦尔
jowed	下巴
jowls	下巴
jowly	嚎叫
joyed	高兴
jubas	朱巴斯
jubes	朱布斯
jucos	尤科斯
judas	犹大
judgy	挑剔的
judos	柔道
jugal	朱加尔
jugum	朱古姆
jujus	朱珠
juked	突出
jukes	朱克斯
jukus	朱库斯
julep	七月
jumar	朱玛
jumby	庞比
jumps	跳跃
junks	垃圾
junky	垃圾
jupes	裙子
jupon	日本人
jural	法律上的
jurat	朱拉特
jurel	朱雷尔
jures	陪审团
justs	公正
jutes	黄麻
jutty	朱蒂
juves	尤文图斯
juvie	朱维
kaama	卡玛
kabab	卡巴布
kabar	新闻
kabob	歌舞伎
kacha	鸭子
kacks	大便
kadai	什么时候
kades	卡德斯
kadis	框架
kafir	卡菲尔
kagos	卡戈斯
kagus	卡格斯
kahal	卡哈尔
kaiak	凯克
kaids	凯兹
kaies	凯斯
kaifs	凯夫斯
kaika	凯卡
kaiks	凯克斯
kails	凯尔
kaims	凯姆斯
kaing	凯恩
kains	凯恩斯
kakas	卡卡斯
kakis	箱
kalam	卡尔姆
kales	羽衣甘蓝
kalif	卡利夫
kalis	卡利斯
kalpa	偏好
kamas	率
kames	卡姆斯
kamik	卡米克
kamis	卡米斯
kamme	梳子
kanae	渠道
kanas	卡纳斯
kandy	康迪
kaneh	卡内
kanes	凯恩斯
kanga	织物
kangs	康斯
kanji	汉字
kants	堡垒
kanzu	汉字
kaons	考恩斯
kapas	帽子
kaphs	卡普斯
kapok	木棉
kapow	卡波
kapus	守门员
kaput	卡普特
karas	战争
karat	克拉
karks	卡克斯
karns	卡恩
karoo	卡鲁
karos	卡洛斯
karri	卡里
karst	喀斯特
karsy	马车
karts	卡丁车
karzy	惩罚
kasha	卡沙
kasme	卡西姆
katal	加泰罗尼亚人
katas	卡塔斯
katis	凯蒂斯
katti	猫
kaugh	考夫
kauri	山羊
kauru	考鲁
kaury	考里
kaval	聪明的
kavas	计划
kawas	咖啡
kawau	卡沃
kawed	卡韦德
kayle	凯勒
kayos	卡约斯
kazis	案例
kazoo	卡祖
kebar	凯巴
kebob	凯博
kecks	凯克斯
kedge	基奇
kedgy	星期二
keech	看
keefs	基夫斯
keeks	基克斯
keels	龙骨
keema	化学
keeno	嫉妒
keens	基恩斯
keeps	保持
keets	基茨
keeve	基夫
kefir	凯菲尔
kehua	赞美
keirs	凯尔斯
kelep	一般的
kelim	克里姆
kells	凯尔斯
kelly	凯利
kelps	海带
kelpy	凯尔比
kelts	凯尔特
kelty	凯尔蒂
kembo	肯博
kembs	肯布斯
kemps	坎普斯
kempt	坎普特
kempy	肯比
kenaf	红麻
kench	放声大笑
kendo	剑道
kenos	基诺斯
kente	肯特
kents	肯特
kepis	凯皮斯
kerbs	路缘石
kerel	伙计
kerfs	切口
kerky	教堂
kerma	内核
kerne	核心
kerns	克恩斯。
keros	克洛斯
kerry	克里
kerve	克夫
kesar	凯萨尔
kests	壳
ketas	凯塔斯
ketch	凯奇
ketes	这
ketol	酮醇
kevel	基维尔
kevil	凯维尔
kexes	凯克斯
keyed	键控
keyer	钥匙
khadi	卡
khafs	卡夫
khans	可汗
khaph	哈夫
khats	卡其布
khaya	卡亚
khazi	卡齐
kheda	挑选
kheth	挑选
khets	赫茨
khoja	科哈
khors	霍尔斯
khoum	库姆
khuds	胡德斯
kiaat	交叉
kiack	凯克
kiang	江
kibbe	基比
kibbi	键位
kibei	基贝
kibes	冻疮
kibla	网状物
kicks	踢
kicky	好棒的
kiddo	孩子
kiddy	孩子
kidel	基德尔
kidge	基奇
kiefs	基夫
kiers	基尔斯
kieve	基夫
kievs	菜单
kight	基特
kikes	犹太人
kikoi	菊口
kiley	基利
kilim	公斤
kills	杀死
kilns	窑炉
kilos	公斤
kilps	盾
kilts	短裙
kilty	_压力单位：kilty
kimbo	金波
kinas	基诺
kinda	有点
kinds	种类
kindy	善良的
kines	肯斯
kings	国王
kinin	奎宁
kinks	扭结
kinos	电影院
kiore	基尔
kipes	基普斯
kippa	小帽
kipps	基普斯
kirby	柯比
kirks	柯克斯
kirns	克恩斯
kirri	错误
kisan	基桑
kissy	基西
kists	箱
kited	风筝
kiter	基特
kites	风筝
kithe	基特
kiths	风筝
kitul	配套元件
kivas	基辅
kiwis	猕猴桃
klang	音频
klaps	鼓掌
klett	地窖
klick	点击
klieg	清楚的
kliks	点击
kloof	缺口
kluge	聪明的
klutz	笨拙的人
knags	恶棍
knaps	骗子
knarl	克鲁尔
knars	嚼
knaur	克努尔
knawe	克纳威
knees	膝盖
knell	丧钟
knish	克尼什
knits	编织
knive	刀
knobs	旋钮
knops	按钮
knosp	按钮
knots	结
knout	诺特
knowe	知道
knows	知道
knubs	努布斯
knurl	滚花
knurr	滚花
knurs	滚花
knuts	克努特
koans	科恩
koaps	哄骗
koban	科万
kobos	科沃斯
koels	冷藏
koffs	科夫斯
kofta	软件
kogal	煤
kohas	在
kohen	科恩
kohls	科尔
koine	科恩
kojis	切
kokam	焦炭
kokas	焦炭
koker	科克
kokra	科克拉
kokum	库姆
kolas	轮子
kolos	科洛斯
kombu	命令
konbu	服务
kondo	公寓
konks	钩
kooks	怪人
kooky	古怪的
koori	唱诗班
kopek	科佩克
kophs	科夫
kopje	复制
koppa	科帕
korai	早期的
koras	可兰经
korat	科拉特
kores	科尔斯
korma	王冠
koros	年龄
korun	王冠
korus	科鲁斯
koses	科斯
kotch	科奇
kotos	科托斯
kotow	猫
koura	库拉
kraal	克拉尔
krabs	克拉布斯
kraft	卡夫
krais	克莱斯
krait	克莱特
krang	克朗
krans	克兰斯
kranz	花环
kraut	德国佬
krays	克雷斯
kreep	绉纱
kreng	克伦
krewe	血
krona	克朗
krone	克朗
kroon	克朗
krubi	血
krunk	克鲁克
ksars	克萨尔
kubie	库比
kudos	荣誉
kudus	库德斯
kudzu	葛根
kufis	库菲斯
kugel	球
kuias	怎样
kukri	库克里
kukus	玉米
kulak	库拉克
kulan	球
kulas	库拉斯
kulfi	印度冰淇淋
kumis	尺寸
kumys	马奶酒
kuris	谁
kurre	从未
kurta	卡
kurus	燃料
kusso	库索
kutas	库塔斯
kutch	卡奇
kutis	伙计
kutus	库图斯
kuzus	隐藏
kvass	克瓦斯
kvell	扼杀
kwela	这个
kyack	凯克
kyaks	凯克斯
kyang	京
kyars	凯尔斯
kyats	缅元
kybos	基博斯
kydst	射击
kyles	凯尔斯
kylie	凯莉
kylin	村庄
kylix	凯利克斯
kyloe	基洛
kynde	肯德
kynds	肯兹
kypes	塞普斯
kyrie	凯莉
kytes	凯茨
kythe	基特
laari	拉里
labda	球
labia	阴唇
labis	阴唇
labra	拉布拉
laced	系带
lacer	蕾丝
laces	鞋带
lacet	牛奶
lacey	莱西
lacks	缺乏
laddy	小姐
laded	舀
lader	装载机
lades	莱德斯
laers	小时
laevo	拉沃
lagan	层
lahal	邮件
lahar	包含
laich	低的
laics	来客
laids	莱兹
laigh	降低
laika	时间
laiks	时间
laird	莱尔德
lairs	巢穴
lairy	俗人
laith	颜色
laity	俗世信徒
laked	湖泊
laker	湖人队
lakes	湖泊
lakhs	拉克斯
lakin	常见的
laksa	拉克萨
laldy	拉尔迪
lalls	小角激光光散射
lamas	喇嘛
lambs	羔羊
lamby	羔羊
lamed	跛脚的
lamer	拉默
lames	跛脚的
lamia	拉米亚
lammy	羔羊
lamps	灯
lanai	拉奈
lanas	羊毛
lanch	兰奇
lande	国家
lands	土地
lanes	车道
lanks	瘦长的
lants	兰茨
lapin	兔子
lapis	青金石
lapje	补丁
larch	落叶松
lards	猪油
lardy	拉迪
laree	拉雷
lares	猪油
largo	拉戈
laris	喉
larks	云雀
larky	云雀
larns	云雀
larnt	朗特
larum	拉勒姆
lased	射击
laser	激光
lases	班
lassi	拉西
lassu	拉苏
lassy	拉西
lasts	持续
latah	背景
lated	Lated
laten	拉滕
latex	乳胶
lathi	其他的
laths	板条
lathy	拉齐
latke	拿铁
latus	拉图斯
lauan	桌子
lauch	劳奇
lauds	赞美
laufs	运行
laund	劳恩德
laura	劳拉
laval	拉瓦尔
lavas	熔岩
laved	薰衣草
laver	紫菜
laves	拉维斯
lavra	采矿
lavvy	拉维尤
lawed	法律
lawer	许多的
lawin	草坪
lawks	草坪
lawns	草坪
lawny	熔岩
laxed	松懈的
laxer	宽松的
laxes	松懈
laxly	莎蒙利
layed	层
layin	躺着。
layup	上篮
lazar	拉扎尔
lazed	懒散的
lazes	懒散的
lazos	债券
lazzi	拉齐
lazzo	懒惰的
leads	引导
leady	含铅的
leafs	树叶
leaks	泄漏
leams	利姆斯
leans	倾斜
leany	瘦削的
leaps	跳跃
leare	李尔王
lears	李尔王
leary	利里
leats	皮革
leavy	利维
leaze	租赁
leben	居住
leccy	容易的
ledes	是
ledgy	莱迪
ledum	勒杜
leear	空的
leeks	韭菜
leeps	打盹儿
leers	利尔斯
leese	阅读
leets	利兹
leeze	阅读
lefte	左边
lefts	左撇子
leger	玩
leges	法律
legge	法律
leggo	我读了
legit	正统剧
lehrs	教学
lehua	乐华
leirs	莱尔斯
leish	利什
leman	莱曼
lemed	柠檬
lemel	删除
lemes	阅读
lemma	引理
lemme	我们不是
lends	出借
lenes	莱恩斯
lengs	冷
lenis	镜头
lenos	雷诺
lense	透镜
lenti	镜头
lento	缓慢的
leone	利昂
lepid	莱皮德
lepra	麻风病
lepta	莱塔
lered	排
leres	阅读
lerps	勒普斯
lesbo	莱斯波
leses	阅读
lests	最后的
letch	莱奇
lethe	莱思
letup	休止
leuch	卢赫
leuco	淡色
leuds	滑动
leugh	躺
levas	莱瓦斯
levee	河堤
leves	汤
levin	莱文
levis	左边
lewis	刘易斯
lexes	阅读
lexis	莱克西斯
lezes	莱兹
lezza	莱扎
lezzy	莱西
liana	莉安娜
liane	莉安娜
liang	梁
liard	骗子
liars	骗子
liart	野生的
liber	自由的
libra	天秤座
libri	书
lichi	里奇
licht	光
licit	合法的
licks	舔
lidar	激光雷达
lidos	丽都
liefs	爱
liens	留置权
liers	谎言
lieus	代
lieve	亲爱的
lifer	生命
lifes	生活
lifts	举起
ligan	利根
liger	光
ligge	放置
ligne	线路
liked	喜欢
liker	喜欢
likes	喜欢
likin	利金
lills	小的
lilos	丁香花
lilts	轻快的
liman	五
limas	五
limax	利马克斯
limba	语言
limbi	林比
limbs	四肢
limby	利比
limed	石灰
limen	黎明
limes	酸橙
limey	利米
limma	胶
limns	莱姆斯
limos	豪华轿车
limpa	清洁的
limps	跛行
linac	直线加速器
linch	关键
linds	林德斯
lindy	林迪
lined	有内衬的
lines	线
liney	线
linga	语言
lings	林
lingy	周
linin	里宁
links	链接
linky	链接
linns	林斯
linny	林尼
linos	利诺斯
lints	磁带
linty	丝带
linum	利纳姆
lions	狮子
lipas	盒子
lipes	利普斯
lipin	利平
lipos	脂肪
lippy	口红的
liras	里拉
lirks	里克斯
lirot	里洛特
lisks	lisx
lisle	莱尔
lisps	口齿不清
lists	清单
litai	李泰
litas	升
lited	莱特
liter	公升
lites	升
litho	立陶宛
liths	石
litre	升
lived	生活
liven	活跃
lives	生活
livor	颜色
livre	书籍
llano	拉诺
loach	泥鳅
loads	荷载
loafs	面包
loams	壤土
loans	贷款
loast	厌恶
loave	游手好闲
lobar	大叶
lobed	浅裂的
lobes	肺叶
lobos	狼
lobus	耳垂
loche	孔
lochs	湖泊
locie	航班
locis	地点
locks	锁
locos	疯狂的
locum	蝗虫
loden	山猫
lodes	矿脉
loess	黄土
lofts	左边
logan	洛根
loges	更衣室
loggy	圆木
logia	罗吉亚
logie	罗吉
logoi	标识
logon	登录
logos	标识
lohan	标题
loids	多倍体
loins	腰部
loipe	追踪
loirs	闲逛
lokes	洛克斯
lolls	懒散的
lolly	棒棒糖
lolog	洛洛格
lomas	休息
lomed	洛美
lomes	名字
loner	孤独者
longa	长的
longe	朗格
longs	渴望
looby	鲁比
looed	流血
looey	鲁伊
loofa	露法
loofs	笨蛋
looie	单宁
looks	看
looky	瞧
looms	隐现
loons	疯子
loony	疯子
loops	循环
loord	鲁德
loots	掠夺
loped	大步走
loper	洛珀
lopes	洛佩斯
loppy	洛皮
loral	颜色
loran	罗兰
lords	贵族
lordy	天哪
lorel	洛雷尔
lores	眼先
loric	洛里克
loris	洛里斯
losed	失败者
losel	洛塞尔
losen	释放
loses	失去
lossy	有损
lotah	洛塔
lotas	一批
lotes	批
lotic	洗液
lotos	洛托斯
lotsa	洛萨
lotta	洛塔
lotte	乐天
lotto	大乐透
lotus	莲花
loued	灰色
lough	洛夫
louie	路易
louis	路易斯
louma	卢马
lound	朗德
louns	休息室
loupe	放大镜
loups	笨蛋
loure	颜色
lours	百叶窗
loury	卢利
louts	笨蛋
lovat	爱慕
loved	爱
loves	爱
lovey	法律
lovie	爱
lowan	洛万
lowed	降低
lowes	洛斯
lownd	低的
lowne	洛恩
lowns	劳恩斯
lowps	低声
lowry	洛瑞
lowse	洛斯
lowts	洛茨
loxed	勒克斯
loxes	盒
lozen	放电
luach	价值
luaus	卢奥斯
lubed	润滑
lubes	润滑油
lubra	卢布拉
luces	卢斯
lucks	幸运的
lucre	幸运
ludes	路德斯
ludic	荒谬的
ludos	游戏
luffa	丝瓜
luffs	雪橇
luged	光
luger	舱口
luges	雪橇
lulls	平静
lulus	卢卢斯
lumas	卢马
lumbi	海豚
lumme	卢姆
lummy	亲爱的。
lumps	肿块
lunas	月亮
lunes	星期一
lunet	挡板
lungi	长的
lungs	肺
lunks	伦克斯
lunts	伦茨
lupin	卢平
lured	引诱
lurer	诱饵
lures	诱惑
lurex	卢莱克斯
lurgi	鲁奇
lurgy	鲁奇
lurks	潜伏
lurry	勒里
lurve	勒夫
luser	虱子
lushy	郁郁葱葱的
lusks	卢克斯
lusts	欲望
lusus	卢修斯
lutea	琵琶
luted	琵琶
luter	物体
lutes	琵琶
luvvy	卢维
luxed	Luxed
luxer	奢侈品
luxes	奢侈品
lyams	莱姆斯
lyard	李亚德
lyart	莱亚特
lyase	裂解酶
lycea	莱西亚
lycee	莱西
lycra	莱卡
lymes	莱姆斯
lynes	闪电
lyres	七弦琴
lysed	照亮
lyses	光
lysin	光
lysis	溶解
lysol	（Lysol）利洁时集团的注册商标
lyssa	莱萨
lyted	声音
lytes	莱茨
lythe	莱特
lytic	溶解的
lytta	听
maaed	土地
maare	马尔
maars	但是
mabes	梅布斯
macas	担架
maced	猛击
macer	梅瑟
maces	钉头槌
mache	马赫
machi	马奇
machs	马赫数
macks	麦克
macle	梅克尔
macon	梅肯
madge	马奇
madid	蛇
madre	母亲
maerl	梅尔
mafic	黑手党的
mages	法师
maggs	马格斯
magot	种子
magus	魔法师
mahoe	马霍
mahua	麻花
mahwa	马赫瓦
maids	女佣
maiko	五月
maiks	五月
maile	邮寄
maill	梅勒
mails	邮件
maims	残废
mains	干线
maire	市长
mairs	梅尔
maise	玉米
maist	五月
makar	三月
makes	使
makis	马克斯
makos	马科斯
malam	夜
malar	马尔
malas	坏的
malax	马拉克斯
males	男性
malic	苹果的
malik	小的
malis	恶意
malls	商场
malms	马尔姆斯
malmy	马尔玛
malts	麦芽
malty	麦芽糖
malus	马吕斯
malva	脏兮兮的。
malwa	事件
mamas	玛丽露
mamba	黑曼巴
mamee	奶妈
mamey	玛米
mamie	奶奶
manas	玛纳斯
manat	马纳特
mandi	淋浴
maneb	曼尼布
maned	鬃毛
maneh	马内
manes	鬃毛
manet	马奈
mangs	芒斯
manis	甜蜜的
manky	男性
manna	吗哪
manos	手
manse	豪斯
manta	曼塔
manto	披风
manty	螳螂
manul	手册
manus	马努斯
mapau	地图
maqui	马基
marae	玛雷
marah	愤怒的
maras	海
marcs	马尔克斯
mardy	星期二
mares	海洋
marge	玛吉
margs	边缘
maria	玛丽亚
marid	马里兹
marka	标志
marks	标志
marle	泥灰岩
marls	泥灰
marly	玛丽
marms	马姆斯！
maron	马龙
maror	马罗
marra	线
marri	玛丽
marse	三月
marts	三月
marvy	马维
masas	群众
mased	群众
maser	脉泽
mases	群众
mashy	糊状的
masks	面具
massa	马萨
massy	群众
masts	桅杆
masty	软膏
masus	群众
matai	视野
mated	交配
mater	母校
mates	伙伴们
maths	数学
matin	上午
matlo	马特洛
matte	磨砂
matts	床垫
matza	文本
matzo	马特佐
mauby	毛比
mauds	莫兹
mauls	猛击
maund	攀登
mauri	摩尔人
mausy	莫西
mauts	老鼠
mauzy	莫兹
maven	专家
mavie	嫉妒
mavin	蓝色
mavis	三月
mawed	无效的
mawks	令人作呕
mawky	猴子
mawns	体积
maxed	最大化
maxes	最大值
maxis	马克西
mayan	玛雅人
mayas	玛雅人
mayed	梅耶德
mayos	五月
mayst	梅斯特
mazed	迷茫
mazer	马泽尔
mazes	迷宫
mazey	基本的
mazut	马祖特
mbira	美好的
meads	米德
meals	餐
meane	梅恩
means	方法
meany	意义
meare	更多
mease	米斯
meath	肉
meats	肉
mebos	梅博斯
mechs	机械师
mecks	梅克斯
medii	媒体
medle	梅德尔
meeds	米德
meers	湖
meets	遇见
meffs	梅夫斯
meins	矿
meint	思考
meiny	矿
meith	大小
mekka	梅卡
melas	梅尔
melba	梅尔巴
melds	信息
melic	梅利克
melik	梅尔克
mells	熔化
melts	融化
melty	梅尔蒂
memes	模因
memos	备忘录
menad	修补
mends	修补
mened	分钟
menes	闵
menge	量
mengs	门格斯
mensa	门萨
mense	复发月份第页
mensh	消息
menta	造币厂
mento	预计起飞时间
menus	菜单
meous	梅厄斯
meows	喵喵叫
merch	货物
mercs	美塞苔丝
merde	该死的
mered	梅里德
merel	梅丽尔
merer	更多
meres	梅尔斯
meril	标准
meris	梅里斯
merks	梅克斯
merle	梅尔
merls	标签
merse	谢谢
mesal	消息
mesas	台面
mesel	例子
meses	月
meshy	网状的
mesic	月份
mesne	肉
meson	介子
messy	凌乱的
mesto	城市
meted	计量
metes	计量器
metho	排
meths	冰毒
metic	精细的
metif	梅蒂夫
metis	梅蒂斯
metol	甲基
metre	米
meuse	默兹
meved	梅维德
meves	矿
mewed	喵喵叫
mewls	哭声
meynt	梅恩特
mezes	泽西
mezze	一半
mezzo	中音
mhorr	莫尔
miaou	矿山
miaow	苗族
miasm	肉
miaul	五月
micas	老鼠
miche	偷窃
micht	米希特
micks	米克斯
micky	米奇
micos	老鼠
micra	米卡拉
middy	正中的
midgy	侏儒的
midis	中等的
miens	闵
mieve	米维
miffs	米夫斯
miffy	米菲
mifty	打开
miggs	米格斯
mihas	Mihas
mihis	五月
miked	麦克风
mikes	麦克风
mikra	米卡拉
mikva	迈克
milch	挤奶
milds	温和的
miler	英里
miles	英里
milfs	米尔夫
milia	米莉亚
milko	鲜奶
milks	牛奶
mille	米勒
mills	磨坊
milor	密耳
milos	米洛斯
milpa	米尔巴
milts	米尔特
milty	米莉
miltz	米尔茨
mimed	模仿
mimeo	美眉
mimer	米默
mimes	哑剧
mimsy	哑剧
minae	矿山
minar	闵
minas	米纳斯
mincy	米西
minds	头脑
mined	挖掘
mines	矿山
minge	去
mings	铭刻
mingy	周
minis	迷你
minke	缟鳁鲸
minks	水貂
minny	米妮
minos	米诺斯
mints	薄荷糖
mired	陷入困境
mires	泥潭
mirex	灭蚁灵
mirid	无数
mirin	米林
mirks	泥泞
mirky	奇迹
mirly	泥泞
miros	气味
mirvs	米尔维斯
mirza	措施
misch	混合的
misdo	过失
mises	米塞斯
misgo	米斯戈
misos	味噌
missa	群众
mists	薄雾
misty	多雾的
mitch	米奇
miter	斜接
mites	螨虫
mitis	米提
mitre	斜接
mitts	手套
mixed	混合的
mixen	混合
mixer	搅拌机
mixes	混合
mixte	混合
mixup	混淆
mizen	米泽
mizzy	米兹
mneme	意见
moans	呻吟
moats	护城河
mobby	暴徒
mobes	手机
mobey	可移动的
mobie	莫比
moble	莫布尔
mochi	麻糬
mochs	摩卡
mochy	权力
mocks	嘲笑
moder	摩登
modes	模式
modge	莫奇
modii	莫迪
modus	方式
moers	母亲
mofos	莫弗斯
moggy	莫吉
mohel	莫希尔
mohos	莫霍
mohrs	莫尔斯
mohua	默化
mohur	莫胡尔
moile	莫尔
moils	莫尔
moira	莫伊拉
moire	云纹
moits	莫伊特
mojos	莫霍斯
mokes	烟
mokis	莫基斯
mokos	莫科斯
molal	臼齿
molas	摩尔
molds	铸模
moled	骚扰
moles	鼹鼠
molla	春天
molls	莫尔斯
molly	莫莉
molto	非常
molts	蜕皮
molys	分子
momes	微光机电系统
momma	妈妈
mommy	妈妈
momus	妈妈
monad	单子
monal	单子的
monas	周一
monde	世界
mondo	世界
moner	硬币
mongo	蒙戈
mongs	蒙斯
monic	一元论的
monie	周一
monks	僧侣
monos	莫诺斯
monte	蒙特
monty	蒙蒂
moobs	穆布斯
mooch	穆奇
moods	情绪
